course_id,title,subject,level,description,rating,students,duration,price,instructor,prerequisites,skills,tags,language,certificate
C001,Python for Data Science,Programming,Beginner,Complete Python programming covering NumPy pandas matplotlib data analysis visualization and basics of machine learning,4.7,15234,40,49.99,Dr. Sarah Johnson,None,Python|Data Analysis|Visualization,python|data science|analytics,English,Yes
C002,Advanced Machine Learning,AI/ML,Advanced,Deep dive into neural networks deep learning TensorFlow Keras computer vision NLP and reinforcement learning,4.8,8934,60,89.99,Prof. Michael Chen,Python for Data Science,Deep Learning|TensorFlow|Neural Networks,machine learning|AI|deep learning,English,Yes
C003,Web Development Bootcamp,Web Dev,Beginner,Full stack web development HTML CSS JavaScript React Node.js MongoDB REST APIs and deployment,4.6,22145,50,59.99,Emily Rodriguez,None,HTML|CSS|JavaScript|React,web development|frontend|backend,English,Yes
C004,UI/UX Design Principles,Design,Beginner,User interface and experience design covering wireframing prototyping Figma Adobe XD and design thinking,4.5,12567,35,44.99,James Wilson,None,UI Design|UX Research|Prototyping,design|UI|UX|Figma,English,Yes
C005,Digital Marketing Mastery,Marketing,Intermediate,Comprehensive digital marketing SEO SEM social media marketing content strategy email campaigns and analytics,4.6,18923,45,54.99,Lisa Martinez,None,SEO|Social Media|Analytics,marketing|SEO|advertising,English,Yes
C006,Blockchain Development,Web Dev,Advanced,Build decentralized applications using Ethereum Solidity smart contracts Web3.js and blockchain architecture,4.7,6789,55,79.99,David Kumar,Web Development Bootcamp,Blockchain|Solidity|Smart Contracts,blockchain|cryptocurrency|web3,English,Yes
C007,Mobile App Development,Programming,Intermediate,Create iOS and Android apps using React Native covering UI components navigation state management and API integration,4.5,14521,48,64.99,Anna Thompson,Web Development Bootcamp,React Native|Mobile Development|APIs,mobile|app development|react,English,Yes
C008,Cloud Computing with AWS,DevOps,Intermediate,Master AWS services EC2 S3 Lambda RDS CloudFormation deployment scaling and cloud architecture,4.8,11234,50,69.99,Robert Singh,None,AWS|Cloud Architecture|DevOps,cloud|AWS|infrastructure,English,Yes
C009,Cybersecurity Fundamentals,Security,Beginner,Network security ethical hacking encryption firewalls penetration testing and security best practices,4.6,9876,42,59.99,Jennifer Lee,None,Network Security|Ethical Hacking|Encryption,cybersecurity|security|hacking,English,Yes
C010,Game Development with Unity,Game Dev,Beginner,Create 2D and 3D games using Unity engine covering C# scripting physics animations and game design,4.5,16789,52,54.99,Chris Anderson,None,Unity|C#|Game Design,game development|Unity|3D,English,Yes
C011,SQL Database Design,Databases,Intermediate,Comprehensive SQL course covering database design queries optimization indexing and performance tuning,4.7,13456,38,49.99,Maria Garcia,None,SQL|Database Design|Optimization,database|SQL|data,English,Yes
C012,Java Programming Masterclass,Programming,Intermediate,Complete Java course covering OOP design patterns multithreading collections frameworks and Spring Boot,4.6,19234,65,64.99,Thomas Brown,None,Java|OOP|Spring Boot,java|programming|backend,English,Yes
C013,Photoshop for Beginners,Design,Beginner,Adobe Photoshop fundamentals covering photo editing retouching layers masks filters and graphic design,4.4,21567,30,39.99,Olivia White,None,Photoshop|Photo Editing|Graphic Design,design|photoshop|editing,English,Yes
C014,Excel Data Analysis,Business,Beginner,Master Excel for data analysis pivot tables VLOOKUP macros Power Query and business intelligence,4.5,25678,35,44.99,Daniel Miller,None,Excel|Data Analysis|Business Intelligence,excel|data|business,English,Yes
C015,Microservices Architecture,DevOps,Advanced,Design and deploy microservices covering service mesh API gateways event-driven architecture and monitoring,4.8,7234,58,84.99,Rachel Green,Cloud Computing with AWS,Microservices|Docker|Kubernetes,microservices|architecture|cloud,English,Yes
C016,Flutter Mobile Development,Programming,Intermediate,Build cross-platform mobile apps using Flutter and Dart covering widgets state management and Firebase integration,4.6,10234,46,59.99,Kevin Park,None,Flutter|Dart|Mobile Apps,flutter|mobile|cross-platform,English,Yes
C017,Data Visualization with Tableau,Data Science,Beginner,Create interactive dashboards using Tableau covering charts graphs maps and storytelling with data,4.5,14789,32,49.99,Sophie Turner,None,Tableau|Data Visualization|Dashboards,data viz|tableau|analytics,English,Yes
C018,Docker and Kubernetes,DevOps,Intermediate,Containerization and orchestration using Docker Kubernetes helm charts deployment and scaling strategies,4.7,9567,45,64.99,Alex Johnson,None,Docker|Kubernetes|Containers,devops|docker|kubernetes,English,Yes
C019,Figma UI Design,Design,Beginner,Design user interfaces using Figma covering components prototyping collaboration and design systems,4.6,11234,28,39.99,Isabella Martinez,None,Figma|UI Design|Prototyping,design|figma|UI,English,Yes
C020,API Development with Node.js,Web Dev,Intermediate,Build RESTful APIs using Node.js Express MongoDB authentication testing and deployment,4.7,12890,42,54.99,Marcus Williams,Web Development Bootcamp,Node.js|Express|REST API,API|backend|nodejs,English,Yes
C021,TensorFlow Deep Learning,AI/ML,Advanced,Advanced deep learning with TensorFlow covering CNNs RNNs GANs transfer learning and model deployment,4.8,6234,62,89.99,Dr. Alan Turing,Advanced Machine Learning,TensorFlow|Deep Learning|Neural Networks,AI|deep learning|tensorflow,English,Yes
C022,Graphic Design Masterclass,Design,Intermediate,Advanced graphic design covering typography color theory branding logo design and Adobe Creative Suite,4.5,13567,48,59.99,Emma Davis,Photoshop for Beginners,Graphic Design|Typography|Branding,design|graphics|branding,English,Yes
C023,Python Django Framework,Web Dev,Intermediate,Full stack web development using Django covering MVT architecture ORM authentication and REST framework,4.6,10567,50,59.99,Lucas Brown,Python for Data Science,Django|Python|Web Framework,python|django|web development,English,Yes
C024,React Advanced Patterns,Web Dev,Advanced,Advanced React covering hooks context API performance optimization testing and architectural patterns,4.7,8234,44,69.99,Sophia Lee,Web Development Bootcamp,React|Hooks|Advanced Patterns,react|javascript|frontend,English,Yes
C025,Business Analytics,Business,Intermediate,Business intelligence analytics covering KPIs metrics dashboards predictive analytics and decision making,4.5,15234,40,54.99,William Taylor,Excel Data Analysis,Business Analytics|KPIs|BI,business|analytics|intelligence,English,Yes